scheme,model,MAE,MSE,R2
fixed_80_20_split,Linear Regression,1.510909212283052,3.7531022055945744,0.9439949695394289
fixed_80_20_split,Random Forest,1.4835950000000053,4.244011094500033,0.9344967726162321
leave_one_temperature_out_cv,Linear Regression,5.225921137149488,51.353773451243306,0.32357758368813505
leave_one_temperature_out_cv,Random Forest,8.099862999999997,108.29859488549997,-0.261425648484556
